IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta,IdLocal
1,2024-05-06,1,4,Televisor 52,3,890.0,2670.0,4
2,2024-05-05,3,1,Televisor 40,2,890.0,1780.0,4
3,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,4
4,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,4
5,2024-05-05,1,1,Lavadora,1,890.0,890.0,4
6,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,4
7,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,4
8,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,4
9,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,4
10,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,4
11,2024-05-05,1,1,Lavadora,1,890.0,890.0,4
12,2024-05-08,1,3,Lavadora,3,1550.0,4650.0,4
13,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,4
14,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,4
15,2024-05-08,1,3,Lavadora,3,1550.0,4650.0,4
16,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,4
17,2024-05-06,2,2,Lavadora,3,890.0,2670.0,4
18,2024-05-06,3,3,Televisor 52,1,2750.0,2750.0,4
19,2024-05-06,2,2,Lavadora,3,890.0,2670.0,4
20,2024-05-08,1,4,Televisor 52,1,2750.0,2750.0,4
21,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,4
22,2024-05-06,2,4,Refrigerador LG,3,890.0,2670.0,4
23,2024-05-06,1,1,Refrigerador LG,1,2750.0,2750.0,4
24,2024-05-05,1,1,Televisor 40,3,890.0,2670.0,4
25,2024-05-05,2,4,Refrigerador LG,1,890.0,890.0,4
26,2024-05-05,2,4,Refrigerador LG,1,890.0,890.0,4
27,2024-05-08,3,2,Televisor 52,3,950.0,2850.0,4
28,2024-05-05,1,1,Lavadora,1,890.0,890.0,4
29,2024-05-07,3,3,Televisor 40,1,1550.0,1550.0,4
30,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,4
31,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,4
32,2024-05-08,2,1,Televisor 52,2,890.0,1780.0,4
33,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,4
34,2024-05-09,2,1,Refrigerador LG,3,1550.0,4650.0,4
35,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,4
36,2024-05-08,3,1,Lavadora,3,2750.0,8250.0,4
37,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,4
38,2024-05-05,1,1,Lavadora,1,890.0,890.0,4
39,2024-05-06,3,4,Refrigerador LG,1,1550.0,1550.0,4
40,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,4
41,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,4
42,2024-05-06,2,4,Refrigerador LG,3,890.0,2670.0,4
43,2024-05-06,3,1,Refrigerador LG,1,1550.0,1550.0,4
44,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,4
45,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,4
46,2024-05-06,2,2,Lavadora,3,890.0,2670.0,4
47,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,4
48,2024-05-08,3,4,Televisor 52,1,890.0,890.0,4
49,2024-05-09,2,1,Refrigerador LG,3,1550.0,4650.0,4
50,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,4
51,2024-05-05,1,1,Televisor 40,3,890.0,2670.0,4
52,2024-05-05,2,4,Refrigerador LG,1,890.0,890.0,4
53,2024-05-05,1,1,Televisor 52,3,2750.0,8250.0,4
54,2024-05-05,1,1,Lavadora,1,890.0,890.0,4
55,2024-05-08,3,4,Televisor 52,1,890.0,890.0,4
56,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,4
57,2024-05-08,3,4,Televisor 52,1,890.0,890.0,4
58,2024-05-08,3,1,Lavadora,3,2750.0,8250.0,4
59,2024-05-06,2,2,Lavadora,3,890.0,2670.0,4
60,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,4
61,2024-05-08,2,1,Televisor 52,2,890.0,1780.0,4
